iter	RMSE
0	0.9477811885
1	0.9252700236
2	0.9035713051
3	0.8833797015
4	0.8643722083
5	0.8466755933
6	0.8311940917
7	0.8163967863
8	0.8017177603
9	0.7870939201
10	0.7753429664
11	0.761752509
12	0.750016897
13	0.7389208359
14	0.7277994451
15	0.7157359907
16	0.7047610578
17	0.6963977962
18	0.6885417188
19	0.6814391304
20	0.6739551764
21	0.6668977676
22	0.659240321
23	0.6530875658
24	0.6474492081
25	0.642248565
26	0.6375857733
27	0.6329427641
28	0.6267669204
29	0.6213578959
30	0.6172368628
31	0.6130510887
32	0.6098450866
33	0.6049665367
34	0.6011975567
35	0.5971573055
36	0.5936664105
37	0.5907113615
38	0.5866419592
39	0.5836564145
40	0.5791327206
41	0.5764484273
42	0.5729313451
43	0.5697021249
44	0.5674669413
45	0.5644451732
46	0.5615848514
47	0.5587684337
48	0.5569853145
49	0.5546861345
50	0.5528985412
51	0.5514384131
52	0.548606865
53	0.5458622505
54	0.5443892945
55	0.5424148119
56	0.5412721105
57	0.5398339616
58	0.5380645034
59	0.5353695868
60	0.5327024411
61	0.5315691916
62	0.5304120438
63	0.5288199681
64	0.5277340784
65	0.5266393267
66	0.5256555323
67	0.5248000168
68	0.5229517042
69	0.5219696421
70	0.5210899011
71	0.5197630666
72	0.518222336
73	0.5167687929
74	0.5158117773
75	0.514840239
76	0.5133546433
77	0.5116250021
78	0.510839966
79	0.509359773
80	0.5086163664
81	0.5075039317
82	0.5066140031
83	0.5052704537
84	0.5043170325
85	0.5033671598
86	0.5028963704
87	0.5018776086
88	0.5005180265
89	0.49914798
90	0.4979975713
91	0.4975559442
92	0.4961688909
93	0.4952831702
94	0.4948023281
95	0.4943344013
96	0.493653348
97	0.4925942328
98	0.4921157905
99	0.491071093
100	0.490613227
101	0.4900684478
102	0.4893587088
103	0.4888813526
104	0.4883248612
105	0.4876387173
106	0.4870725065
107	0.4864001163
108	0.4851609567
109	0.4848872414
110	0.4845132662
111	0.4836848631
112	0.4832760147
113	0.4828663692
114	0.4825498441
115	0.4820215309
116	0.4817455366
117	0.4811493019
118	0.4808370694
119	0.4802457327
120	0.4797851243
121	0.4791184754
122	0.4788034995
123	0.4782555494
124	0.4779093709
125	0.4774571976
126	0.4770327827
127	0.4765053001
128	0.4757544857
129	0.47489094
130	0.4743429928
131	0.4739069022
132	0.4734070824
133	0.4727404792
134	0.4723346301
135	0.4719187305
136	0.47161583
137	0.4712774072
138	0.4708196356
139	0.470465592
140	0.4698763518
141	0.4695415285
142	0.4692495462
143	0.468831852
144	0.4685969774
145	0.4680418747
146	0.4677309094
147	0.4674687613
148	0.4671967721
149	0.4669001856
150	0.4665267262
151	0.4662508145
152	0.4659621049
153	0.465471175
154	0.4651230104
155	0.4648204582
156	0.4646167954
157	0.4641023301
158	0.4638392158
159	0.4633565386
160	0.4627048398
161	0.4622924817
162	0.4619448105
163	0.4616502479
164	0.4613789417
165	0.4607464374
166	0.4605693572
167	0.45977454
168	0.4593701168
169	0.4590342057
170	0.4587597017
171	0.4585030599
172	0.4581149828
173	0.4577655235
174	0.4574640777
175	0.4565732821
176	0.4561462539
177	0.4558638283
