iter	Passed	Remaining
0	3	3191
1	5	2929
2	8	2882
3	11	2771
4	13	2653
5	15	2543
6	17	2484
7	19	2427
8	21	2387
9	23	2361
10	26	2368
11	28	2375
12	31	2357
13	33	2337
14	35	2320
15	37	2320
16	40	2318
17	42	2330
18	45	2334
19	47	2327
20	49	2310
21	51	2297
22	53	2286
23	55	2271
24	58	2262
25	60	2265
26	62	2256
27	64	2248
28	66	2238
29	69	2236
30	71	2227
31	73	2227
32	76	2231
33	78	2226
34	80	2219
35	82	2213
36	84	2207
37	87	2206
38	89	2204
39	91	2204
40	94	2207
41	98	2255
42	101	2267
43	104	2275
44	108	2301
45	111	2313
46	114	2314
47	116	2317
48	119	2320
49	122	2319
50	124	2316
51	127	2322
52	129	2319
53	131	2312
54	134	2305
55	136	2302
56	139	2303
57	141	2296
58	143	2289
59	145	2284
60	147	2277
61	150	2271
62	152	2267
63	154	2260
64	156	2253
65	158	2248
66	161	2243
67	163	2238
68	165	2232
69	167	2227
70	169	2224
71	172	2227
72	175	2223
73	177	2218
74	179	2213
75	181	2209
76	184	2206
77	186	2203
78	188	2199
79	190	2192
80	192	2187
81	194	2181
82	196	2176
83	199	2171
84	201	2169
85	204	2170
86	206	2166
87	208	2163
88	210	2159
89	213	2155
90	215	2153
91	217	2150
92	220	2146
93	222	2143
94	224	2139
95	226	2135
96	228	2130
97	231	2126
98	233	2121
99	235	2119
100	237	2115
101	239	2112
102	242	2107
103	244	2104
104	246	2101
105	248	2097
106	251	2099
107	253	2094
108	255	2090
109	257	2086
110	259	2082
111	262	2078
112	264	2075
113	266	2072
114	268	2068
115	271	2065
116	273	2060
117	275	2057
118	277	2052
119	279	2047
120	281	2044
121	283	2043
122	286	2042
123	289	2042
124	291	2038
125	293	2034
126	295	2030
127	297	2026
128	300	2025
129	302	2023
130	304	2019
131	306	2016
132	308	2012
133	310	2009
134	313	2005
135	315	2003
136	318	2003
137	320	2001
138	322	1998
139	324	1994
140	326	1991
141	329	1988
142	331	1985
143	333	1985
144	336	1983
145	338	1981
146	340	1978
147	343	1976
148	345	1973
149	348	1974
150	350	1971
151	353	1970
152	355	1969
153	358	1967
154	360	1966
155	362	1962
156	365	1961
157	368	1962
158	370	1960
159	373	1958
160	375	1956
161	377	1955
162	380	1953
163	382	1951
164	385	1951
165	388	1951
166	390	1949
167	393	1947
168	395	1946
169	398	1947
170	401	1945
171	403	1943
172	406	1941
173	408	1940
174	411	1938
175	413	1937
176	416	1937
177	419	1935
178	421	1934
179	424	1932
180	427	1932
181	430	1932
182	432	1931
183	435	1929
184	437	1929
185	440	1927
186	442	1925
187	445	1923
188	448	1923
189	450	1922
190	453	1921
191	456	1920
192	459	1919
193	461	1917
194	464	1916
195	466	1915
196	469	1914
197	472	1912
198	474	1909
199	477	1908
200	479	1906
201	482	1905
202	484	1903
203	487	1901
204	489	1899
205	492	1897
206	495	1897
207	497	1895
208	500	1893
209	502	1891
210	505	1889
211	508	1888
212	510	1885
213	513	1884
214	515	1882
215	517	1879
216	520	1876
217	522	1873
218	524	1871
219	527	1870
220	530	1868
221	532	1867
222	535	1865
223	538	1863
224	540	1861
225	543	1860
226	545	1858
227	548	1855
228	550	1853
229	553	1852
230	556	1850
231	558	1849
232	561	1847
233	563	1845
234	566	1843
235	568	1840
236	571	1838
237	573	1836
238	576	1834
239	578	1831
240	580	1829
241	583	1826
242	585	1824
243	588	1822
244	591	1821
245	593	1820
246	596	1818
247	598	1816
248	601	1813
249	603	1810
250	606	1809
251	608	1807
252	611	1804
253	613	1802
254	616	1800
255	618	1798
256	620	1794
257	623	1793
258	625	1790
259	628	1787
260	630	1785
261	633	1783
262	635	1781
263	638	1779
264	640	1777
265	643	1774
266	645	1772
267	648	1770
268	650	1768
269	652	1765
270	655	1763
271	658	1761
272	660	1758
273	662	1755
274	664	1753
275	667	1750
276	669	1748
277	672	1746
278	675	1744
279	677	1742
280	680	1740
281	682	1738
282	685	1737
283	688	1736
284	690	1733
285	693	1730
286	695	1728
287	698	1726
288	700	1723
289	703	1722
290	706	1720
291	708	1717
292	710	1715
293	713	1713
294	715	1711
295	718	1709
296	721	1708
297	724	1706
298	726	1704
299	729	1702
300	732	1700
301	734	1698
302	737	1696
303	739	1694
304	742	1691
305	744	1689
306	747	1686
307	749	1684
308	752	1683
309	755	1680
310	757	1678
311	760	1676
312	763	1674
313	765	1672
314	768	1670
315	770	1668
316	773	1665
317	775	1663
318	778	1661
319	780	1659
320	783	1657
321	785	1654
322	788	1652
323	790	1650
324	793	1647
325	795	1645
326	798	1643
327	801	1642
328	804	1640
329	806	1637
330	809	1635
331	811	1632
332	814	1630
333	816	1628
334	819	1626
335	822	1624
336	824	1621
337	826	1619
338	829	1616
339	831	1614
340	834	1613
341	837	1610
342	839	1608
343	841	1605
344	844	1603
345	846	1600
346	849	1598
347	851	1596
348	854	1593
349	856	1591
350	859	1588
351	861	1585
352	864	1583
353	866	1581
354	869	1579
355	871	1576
356	874	1574
357	876	1571
358	878	1569
359	881	1567
360	884	1564
361	886	1562
362	888	1559
363	891	1557
364	893	1554
365	896	1552
366	898	1550
367	901	1548
368	903	1545
369	906	1542
370	908	1540
371	910	1537
372	913	1535
373	916	1533
374	918	1530
375	920	1527
376	923	1525
377	925	1522
378	928	1521
379	930	1518
380	933	1516
381	935	1513
382	938	1511
383	940	1509
384	943	1506
385	945	1504
386	948	1501
387	950	1498
388	952	1496
389	955	1494
390	957	1491
391	960	1489
392	962	1487
393	965	1484
394	967	1482
395	970	1480
396	973	1478
397	976	1476
398	978	1474
399	981	1472
400	984	1470
401	986	1467
402	989	1465
403	992	1463
404	994	1461
405	996	1458
406	999	1455
407	1001	1453
408	1003	1450
409	1008	1451
410	1012	1450
411	1015	1449
412	1018	1448
413	1021	1446
414	1024	1444
415	1028	1444
416	1031	1441
417	1033	1439
418	1036	1437
419	1039	1435
420	1041	1433
421	1044	1430
422	1046	1427
423	1048	1424
424	1050	1421
425	1053	1419
426	1055	1416
427	1058	1414
428	1060	1411
429	1062	1408
430	1064	1405
431	1067	1403
432	1069	1400
433	1071	1397
434	1074	1395
435	1076	1392
436	1078	1390
437	1081	1387
438	1083	1384
439	1085	1381
440	1088	1379
441	1091	1377
442	1093	1375
443	1095	1372
444	1098	1369
445	1100	1367
446	1102	1364
447	1105	1361
448	1107	1359
449	1110	1356
450	1112	1354
451	1114	1351
452	1116	1348
453	1119	1346
454	1122	1344
455	1124	1341
456	1126	1338
457	1129	1336
458	1131	1333
459	1133	1330
460	1135	1328
461	1138	1326
462	1141	1323
463	1143	1320
464	1145	1317
465	1147	1314
466	1149	1311
467	1151	1308
468	1153	1306
469	1156	1303
470	1158	1300
471	1160	1298
472	1162	1295
473	1164	1292
474	1167	1290
475	1170	1288
476	1172	1285
477	1174	1283
478	1176	1280
479	1179	1277
480	1181	1274
481	1183	1271
482	1185	1269
483	1188	1266
484	1190	1264
485	1192	1261
486	1195	1258
487	1197	1256
488	1199	1253
489	1202	1251
490	1204	1248
491	1207	1246
492	1209	1244
493	1211	1241
494	1214	1238
495	1216	1236
496	1219	1233
497	1221	1231
498	1223	1228
499	1225	1225
500	1227	1222
501	1229	1220
502	1232	1217
503	1234	1214
504	1236	1212
505	1239	1209
506	1241	1207
507	1243	1204
508	1245	1201
509	1248	1199
510	1250	1197
511	1253	1194
512	1255	1191
513	1258	1189
514	1260	1186
515	1262	1184
516	1264	1181
517	1267	1178
518	1269	1176
519	1271	1173
520	1273	1170
521	1275	1168
522	1278	1165
523	1280	1163
524	1283	1160
525	1285	1158
526	1287	1155
527	1289	1153
528	1292	1150
529	1294	1148
530	1297	1145
531	1299	1143
532	1302	1141
533	1304	1138
534	1307	1136
535	1309	1133
536	1311	1131
537	1314	1128
538	1316	1126
539	1319	1123
540	1321	1121
541	1323	1118
542	1326	1116
543	1328	1113
544	1331	1111
545	1333	1108
546	1335	1106
547	1338	1103
548	1340	1101
549	1343	1099
550	1345	1096
551	1348	1094
552	1350	1091
553	1352	1088
554	1354	1086
555	1357	1083
556	1359	1081
557	1361	1078
558	1363	1076
559	1366	1073
560	1368	1071
561	1371	1068
562	1373	1065
563	1375	1063
564	1378	1060
565	1380	1058
566	1383	1056
567	1385	1053
568	1387	1051
569	1390	1048
570	1392	1046
571	1394	1043
572	1396	1040
573	1399	1038
574	1401	1035
575	1403	1033
576	1405	1030
577	1408	1028
578	1410	1025
579	1413	1023
580	1416	1021
581	1418	1018
582	1420	1016
583	1423	1013
584	1425	1011
585	1427	1008
586	1430	1006
587	1432	1003
588	1435	1001
589	1437	999
590	1439	996
591	1442	993
592	1444	991
593	1447	989
594	1449	986
595	1452	984
596	1454	981
597	1456	979
598	1459	976
599	1461	974
600	1464	972
601	1466	969
602	1468	967
603	1471	964
604	1473	962
605	1476	959
606	1479	957
607	1481	955
608	1483	952
609	1485	950
610	1488	947
611	1490	944
612	1492	942
613	1495	940
614	1497	937
615	1500	935
616	1502	932
617	1504	930
618	1507	927
619	1509	925
620	1512	922
621	1514	920
622	1516	917
623	1518	915
624	1520	912
625	1523	909
626	1525	907
627	1528	905
628	1530	902
629	1532	900
630	1535	897
631	1537	895
632	1539	892
633	1542	890
634	1544	887
635	1546	885
636	1548	882
637	1551	880
638	1553	877
639	1555	874
640	1558	872
641	1560	870
642	1562	867
643	1565	865
644	1567	862
645	1570	860
646	1573	858
647	1575	855
648	1578	853
649	1580	851
650	1583	848
651	1585	846
652	1587	843
653	1589	841
654	1592	838
655	1594	836
656	1596	833
657	1598	831
658	1601	828
659	1603	826
660	1605	823
661	1608	821
662	1610	818
663	1613	816
664	1615	813
665	1617	811
666	1620	808
667	1622	806
668	1625	804
669	1627	801
670	1630	799
671	1632	796
672	1635	794
673	1637	792
674	1640	789
675	1642	787
676	1645	784
677	1647	782
678	1649	779
679	1651	777
680	1654	774
681	1656	772
682	1659	770
683	1661	767
684	1663	765
685	1666	762
686	1669	760
687	1671	758
688	1674	755
689	1676	753
690	1678	750
691	1681	748
692	1683	745
693	1685	743
694	1688	740
695	1690	738
696	1693	736
697	1695	733
698	1698	731
699	1700	728
700	1703	726
701	1706	724
702	1708	721
703	1711	719
704	1713	717
705	1715	714
706	1718	712
707	1721	709
708	1723	707
709	1726	705
710	1728	702
711	1730	700
712	1733	697
713	1735	695
714	1738	692
715	1740	690
716	1743	687
717	1745	685
718	1747	683
719	1750	680
720	1753	678
721	1755	675
722	1757	673
723	1760	671
724	1762	668
725	1765	666
726	1767	663
727	1770	661
728	1772	658
729	1775	656
730	1777	654
731	1779	651
732	1782	649
733	1785	646
734	1787	644
735	1790	642
736	1792	639
737	1794	637
738	1797	634
739	1799	632
740	1802	629
741	1804	627
742	1806	624
743	1808	622
744	1811	619
745	1813	617
746	1816	615
747	1818	612
748	1820	610
749	1822	607
750	1825	605
751	1827	602
752	1829	600
753	1832	597
754	1834	595
755	1836	592
756	1838	590
757	1841	587
758	1843	585
759	1846	582
760	1848	580
761	1850	578
762	1853	575
763	1855	573
764	1857	570
765	1859	568
766	1861	565
767	1864	563
768	1867	560
769	1869	558
770	1871	555
771	1874	553
772	1876	550
773	1878	548
774	1881	546
775	1883	543
776	1885	541
777	1888	538
778	1890	536
779	1892	533
780	1894	531
781	1897	528
782	1899	526
783	1902	524
784	1904	521
785	1906	519
786	1908	516
787	1911	514
788	1913	511
789	1916	509
790	1918	506
791	1920	504
792	1923	501
793	1925	499
794	1927	497
795	1930	494
796	1932	492
797	1935	489
798	1937	487
799	1939	484
800	1941	482
801	1944	480
802	1947	477
803	1949	475
804	1952	472
805	1954	470
806	1956	468
807	1959	465
808	1961	463
809	1964	460
810	1966	458
811	1968	455
812	1970	453
813	1973	450
814	1975	448
815	1978	446
816	1980	443
817	1982	441
818	1984	438
819	1987	436
820	1989	433
821	1992	431
822	1994	429
823	1996	426
824	1999	424
825	2001	421
826	2003	419
827	2005	416
828	2007	414
829	2010	411
830	2013	409
831	2015	406
832	2017	404
833	2019	401
834	2021	399
835	2024	397
836	2026	394
837	2029	392
838	2031	389
839	2033	387
840	2036	384
841	2038	382
842	2041	380
843	2043	377
844	2045	375
845	2047	372
